account,debit,credit,date_maturity,payment_mode,analytic_acc
(Código de la cuenta,,,,,
 contable),(Debe),(Haber),(Fecha vencimiento),,
,,,,,
,,,,,
,,,,,
43000047,"3746,03",,09/30/2018,Transferencia,MS
43000047,"1856,47",,08/31/2018,Transferencia,MS
43000048,"5941,73",,11/30/2018,Transferencia,MS
43000048,"2202,11",,10/31/2018,Transferencia,MS
43000048,"3253,1",,12/31/2018,Transferencia,MS
43000076,"233,29",,12/31/2018,Tarjeta,MS
43000210,"601,14",,07/30/2018,Transferencia,MS
43000210,"608,13",,01/30/2019,Transferencia,MS
43000236,"485,67",,11/30/2015,Transferencia,
43000236,"582,48",,10/31/2015,Transferencia,
43000301,"23218,75",,10/30/2018,Transferencia,MS
43000301,"-1173,03",,09/30/2018,,MS
43000301,"29484,7",,11/30/2018,Transferencia,MS
43000301,"18326,48",,01/30/2019,Transferencia,MS
43000301,"-26695,02",,12/18/2018,,MS
43000301,"18865,11",,01/17/2019,Transferencia,MS
43000303,847,,07/11/2017,Transferencia,
43000304,"66,79",,12/31/2018,Domiciliado,MS
43000306,"7389,03",,01/30/2019,Transferencia,MS
43000306,"8221,57",,11/30/2018,Transferencia,MS
43000306,"9169,39",,12/30/2018,Transferencia,MS
43000306,"8177,5",,10/30/2018,Transferencia,MS
43000306,"11537,05",,09/30/2018,Transferencia,MS
43000311,"1131,51",,11/30/2018,Transferencia,MS
43000311,"2966,06",,12/31/2018,Transferencia,MS
43000313,"2638,63",,12/31/2018,Domiciliado,SAAS
43000340,"594,15",,12/31/2015,Transferencia,
43000415,"397,62",,03/01/2019,Transferencia,SAAS
43000415,"280,9",,01/29/2019,Transferencia,SAAS
43000420,"752,89",,02/29/2016,Transferencia,
43000422,"240,79",,11/30/2018,Transferencia,SAAS
43000422,"240,79",,10/31/2018,Transferencia,SAAS
43000422,"240,79",,12/31/2018,Transferencia,SAAS
43000424,"971,79",,11/30/2015,Transferencia,
43000424,"1029,58",,12/31/2015,Transferencia,
43000426,"1306,15",,12/31/2018,Domiciliado,MS
43000446,"1216,51",,12/31/2018,Domiciliado,MS
43000452,"-292,43",,07/31/2017,,
43000478,"569,98",,06/30/2016,Transferencia,
43000480,"624,99",,12/31/2018,Transferencia,MS
43000483,"-593,89",,02/15/2018,,MS
43000483,"453,1",,02/28/2017,Transferencia,
43000483,"845,79",,01/31/2017,Transferencia,
43000483,"1205,49",,12/31/2016,Transferencia,
43000483,"1370,65",,11/30/2016,Transferencia,
43000496,"892,74",,03/31/2016,Transferencia,
43000496,"213,75",,02/29/2016,Transferencia,
43000497,"130,68",,02/29/2016,Transferencia,
43000497,"94,04",,03/31/2016,Transferencia,
43000519,"2149,75",,12/30/2018,Transferencia,MS
43000519,"2290,68",,01/30/2019,Transferencia,MS
43000523,"327,4",,03/31/2016,Transferencia,
43000525,"-607,18",,01/30/2018,,
43000525,"547,6",,12/30/2018,Transferencia,MS
43000525,"333,77",,12/30/2018,Transferencia,MS
43000525,"580,19",,01/30/2019,Transferencia,MS
43000525,"183,44",,01/30/2019,Transferencia,MS
43000529,"519,28",,06/30/2016,Transferencia,
43000531,"941,87",,06/30/2017,Transferencia,
43000531,"913,62",,09/30/2016,Transferencia,
43000531,"1013,91",,08/31/2016,Transferencia,
43000531,699,,12/31/2016,Transferencia,
43000533,"502,09",,12/30/2018,Transferencia,MS
43000533,"223,91",,01/30/2019,Transferencia,MS
43000533,"0,25",,10/30/2018,Transferencia,MS
43000537,"623,99",,01/30/2019,Domiciliado,SAAS
43000539,"453,27",,12/30/2018,Transferencia,MS
43000539,"451,52",,01/30/2019,Transferencia,MS
43000539,"1731,95",,01/30/2019,Transferencia,MS
43000539,"1916,58",,12/30/2018,Transferencia,MS
43000541,"1007,92",,12/30/2018,Transferencia,MS
